MaxTemp,Temp3pm,Temp9am,Evaporation,Humidity9am,Sunshine,MinTemp,Humidity3pm,RainToday
21.1,19.8,15.3,5.0,39.0,10.3,11.6,40.0,0
18.5,16.9,16.3,1.6,81.0,2.3,13.4,77.0,0
33.3,32.3,23.9,12.0,31.0,13.4,13.3,20.0,0
23.8,21.9,16.0,7.2,66.0,9.5,7.8,44.0,0
17.8,14.5,13.5,2.2,75.0,4.7,10.9,81.0,1
21.6,20.6,16.0,3.4,63.0,9.1,13.4,57.0,0
30.0,29.1,19.4,10.6,41.0,11.5,15.3,16.0,0
17.5,16.0,11.3,3.8,71.0,3.1,5.0,43.0,0
31.1,29.7,19.6,13.0,57.0,13.7,16.8,26.0,0
30.3,29.3,27.3,7.2,56.0,9.9,23.2,51.0,0
29.9,29.4,19.6,4.0,68.0,5.3,14.1,39.0,0
18.1,17.6,14.5,6.4,53.0,1.2,10.3,42.0,0
14.1,13.1,10.3,2.6,79.0,0.9,7.3,64.0,0
32.4,31.5,28.8,5.6,76.0,9.4,25.6,65.0,0
36.0,33.3,23.7,10.8,56.0,13.4,18.5,13.0,0
34.2,33.2,24.1,8.0,43.0,5.2,17.5,15.0,0
32.1,31.7,29.4,6.8,66.0,11.9,23.6,55.0,0
17.2,16.3,15.7,2.0,81.0,6.3,13.1,78.0,0
14.2,13.5,11.1,1.4,81.0,7.2,5.4,61.0,1
14.3,13.8,9.6,2.4,92.0,0.7,6.0,61.0,0
21.3,20.3,18.7,4.6,81.0,8.7,17.1,68.0,0
29.2,26.2,16.7,10.6,57.0,9.8,15.4,23.0,0
14.2,12.4,11.9,1.0,63.0,6.1,6.6,62.0,1
36.1,32.7,28.2,11.0,25.0,13.0,16.8,23.0,0
29.8,27.7,19.8,6.6,97.0,12.7,15.3,55.0,0
24.1,23.9,15.6,8.0,64.0,6.1,7.9,34.0,0
8.9,8.2,4.6,2.8,83.0,5.6,3.0,67.0,1
33.2,32.4,20.6,8.0,15.0,11.1,8.2,8.0,0
