MaxTemp,Temp3pm,Temp9am,Evaporation,Humidity9am,Sunshine,MinTemp,Humidity3pm,RainToday
14.6,13.7,8.8,2.0,93.0,6.2,6.3,67.0,1
34.8,32.9,28.7,9.2,66.0,10.1,24.5,45.0,1
22.2,18.4,16.5,1.8,98.0,0.9,16.0,97.0,1
16.7,13.9,11.2,4.2,81.0,5.9,6.2,80.0,1
36.9,35.8,25.4,10.8,33.0,10.3,18.7,19.0,0
8.9,8.2,4.6,2.8,83.0,5.6,3.0,67.0,1
13.7,12.9,2.1,1.0,99.0,9.0,0.4,58.0,1
18.3,17.1,14.7,5.6,63.0,8.0,8.6,38.0,0
28.4,27.0,27.5,2.6,72.0,0.6,23.9,78.0,1
29.1,28.0,21.8,0.6,87.0,2.9,19.2,65.0,1
29.4,27.7,24.3,2.8,87.0,5.5,23.0,72.0,1
24.7,24.2,14.6,2.6,85.0,8.1,13.9,39.0,0
31.0,27.8,27.9,7.6,78.0,6.1,23.4,79.0,1
32.7,28.5,24.5,10.8,38.0,13.0,17.8,34.0,0
19.6,19.1,13.5,2.5,60.0,10.6,1.9,39.0,0
23.0,21.3,20.7,14.6,57.0,8.0,16.4,56.0,1
26.9,26.7,25.0,1.4,84.0,8.6,23.3,78.0,1
13.2,12.3,8.4,1.4,82.0,0.4,3.5,77.0,0
14.3,12.0,10.9,1.6,75.0,6.6,3.3,76.0,1
29.2,27.1,18.8,4.2,72.0,11.9,13.1,34.0,0
19.7,17.7,11.1,4.0,73.0,5.4,7.8,45.0,1
26.5,24.6,24.5,3.4,89.0,0.0,23.1,91.0,1
28.6,23.1,25.2,4.8,28.0,9.8,20.4,56.0,0
26.5,23.9,19.9,9.4,64.0,9.6,14.7,38.0,0
19.5,19.1,12.4,4.8,53.0,10.2,5.2,28.0,0
16.1,14.5,10.5,3.0,74.0,7.5,6.0,49.0,1
31.7,31.4,27.5,7.2,81.0,8.6,24.6,63.0,1
27.0,25.4,20.3,7.4,48.0,10.0,12.0,45.0,0
26.2,25.6,19.4,5.8,73.0,12.8,10.6,50.0,0
20.9,17.2,16.5,2.8,87.0,0.4,15.0,91.0,1
17.8,14.5,13.5,2.2,75.0,4.7,10.9,81.0,1
16.4,15.6,12.9,0.8,54.0,7.8,3.9,39.0,0
21.7,19.0,14.7,0.6,99.0,6.8,13.2,70.0,1
27.4,26.2,21.2,4.6,81.0,10.0,13.5,31.0,1
17.1,15.8,13.5,0.6,90.0,6.6,13.3,47.0,1
31.1,30.6,30.0,5.8,75.0,10.0,25.8,72.0,1
30.8,27.1,23.6,10.0,74.0,13.0,17.5,54.0,0
14.4,13.0,9.8,1.2,92.0,4.7,9.0,62.0,1
19.7,19.3,15.0,1.2,92.0,0.0,13.1,91.0,1
24.5,23.1,17.4,11.4,36.0,6.9,14.0,31.0,0
17.9,16.3,12.4,2.3,77.0,6.9,5.4,60.0,0
32.2,31.5,27.6,4.6,81.0,4.0,24.9,58.0,1
24.1,23.2,22.8,1.2,96.0,0.2,22.0,96.0,1
30.1,28.3,27.4,7.0,61.0,7.6,22.8,67.0,0
13.2,9.2,9.7,1.8,67.0,3.5,4.8,58.0,0
13.0,11.0,10.6,5.2,56.0,2.9,8.5,65.0,0
23.9,23.9,17.8,2.2,95.0,3.2,15.7,56.0,1
19.6,14.9,16.7,6.6,78.0,8.0,11.1,82.0,1
33.7,31.0,18.2,12.0,43.0,13.4,13.8,17.0,0
25.4,24.3,22.8,3.4,69.0,2.5,21.1,57.0,1
13.7,11.7,7.0,2.6,82.0,4.8,5.6,68.0,1
20.9,20.3,11.3,4.0,62.0,3.5,7.2,33.0,0
